#         mode #    freq (cm-1)     proj value
          46.00          160.24            0.53
          51.00          149.43           -0.32
          53.00          145.56           -0.30
          47.00          158.83           -0.28
          43.00          173.11            0.21
          45.00          161.64            0.21
          54.00          144.87            0.20
          50.00          152.31           -0.18
          56.00          142.62            0.18
          55.00          143.84           -0.16
          48.00          156.11            0.14
          39.00          185.55            0.12
          41.00          181.85            0.11
          49.00          154.94           -0.11
          44.00          164.00           -0.10
          35.00          197.60           -0.10
          58.00          139.22            0.07
          52.00          147.32            0.07
          69.00          125.95           -0.06
          74.00          120.31           -0.06
          29.00          206.40           -0.06
          40.00          183.11           -0.06
          65.00          131.49            0.06
         122.00           61.41            0.06
          78.00          116.78            0.06
          72.00          122.33            0.06
          25.00          217.37           -0.05
          63.00          133.41           -0.05
          21.00          226.46            0.05
         123.00           58.97           -0.05
          60.00          137.28            0.05
          90.00          105.75           -0.05
          66.00          130.41            0.05
          11.00          254.42           -0.05
          36.00          196.91           -0.05
          85.00          111.22            0.05
          59.00          138.22            0.05
          14.00          248.86            0.04
         127.00           50.47           -0.04
          79.00          116.03            0.04
          61.00          136.01           -0.04
          70.00          125.09            0.04
          38.00          193.72            0.04
          18.00          236.33           -0.04
          42.00          178.55           -0.04
         101.00           92.63            0.04
          28.00          208.91            0.04
          84.00          111.64           -0.04
          13.00          251.43           -0.03
          31.00          203.96            0.03
         102.00           91.38            0.03
          62.00          135.31           -0.03
          92.00          103.71           -0.03
         116.00           70.91            0.03
          89.00          107.28            0.03
          81.00          115.03            0.03
         111.00           80.42           -0.03
          32.00          202.58           -0.03
          83.00          112.11           -0.03
         103.00           90.55            0.03
           6.00          263.16            0.02
          73.00          120.57           -0.02
          57.00          140.73            0.02
          16.00          241.65           -0.02
          95.00          102.00            0.02
          68.00          127.20           -0.02
          26.00          212.89           -0.02
          30.00          204.41           -0.02
           0.00          274.54            0.02
          96.00          100.62            0.02
         121.00           61.78            0.02
         114.00           74.62            0.02
          24.00          222.63            0.02
          77.00          117.31           -0.02
         104.00           88.93            0.02
          76.00          118.38            0.02
         125.00           54.81            0.02
          86.00          109.50           -0.02
         107.00           84.30           -0.02
         131.00           39.49           -0.02
          34.00          198.44           -0.01
         119.00           66.31            0.01
          12.00          252.85            0.01
         124.00           57.11            0.01
         112.00           79.02           -0.01
           7.00          262.27           -0.01
           3.00          267.41           -0.01
          33.00          199.41            0.01
         133.00            2.99            0.01
          17.00          240.57           -0.01
           4.00          266.81            0.01
          67.00          128.39            0.01
         108.00           82.62           -0.01
          93.00          102.93           -0.01
          27.00          211.55            0.01
          99.00           96.22            0.01
          80.00          115.44           -0.01
          19.00          234.96           -0.01
         115.00           71.87            0.01
         110.00           80.76           -0.01
          97.00           98.71            0.01
          22.00          225.24           -0.01
          94.00          102.44           -0.01
          75.00          119.50           -0.01
         129.00           46.59           -0.01
         113.00           76.80           -0.01
          15.00          243.41           -0.01
         100.00           94.28           -0.01
          88.00          108.25            0.01
           5.00          264.92           -0.01
         130.00           42.97           -0.01
         132.00            2.37            0.01
           1.00          271.87            0.01
         120.00           64.12            0.00
          71.00          124.34            0.00
          20.00          228.81            0.00
          37.00          195.35            0.00
          10.00          255.45           -0.00
          64.00          132.62            0.00
          82.00          113.91            0.00
           9.00          258.53            0.00
         106.00           85.45           -0.00
          91.00          104.74            0.00
         117.00           70.43            0.00
          87.00          109.08            0.00
         109.00           81.85            0.00
          98.00           97.88           -0.00
         128.00           48.38           -0.00
         126.00           51.65           -0.00
           8.00          260.31            0.00
           2.00          268.82           -0.00
         134.00            4.05           -0.00
         105.00           86.83           -0.00
         118.00           67.30            0.00
          23.00          224.76            0.00
