#  50 f  =    4.774178 THz    29.997048 2PiTHz  159.249445 cm-1    19.744422 meV
#         X         Y         Z           dx          dy          dz
#      1.726000  0.647216 10.065929     0.000003    0.001838   -0.017753  
      8.630000  0.647216 10.065928     0.000004    0.001837   -0.017750  
      5.177999  0.647216 10.065929    -0.000006    0.001838   -0.017755  
     12.082000  0.647215 10.065929    -0.000004    0.001840   -0.017759  
      1.725999  7.015215 10.065930     0.000003    0.001838   -0.017755  
      8.629999  7.015214 10.065929     0.000001    0.001837   -0.017753  
      5.178000  7.015216 10.065928    -0.000005    0.001841   -0.017761  
     12.082000  7.015216 10.065928    -0.000002    0.001839   -0.017758  
      1.725999  4.770905  6.521903     0.000002    0.002681    0.010560  
      8.629999  4.770906  6.521904     0.000000    0.002679    0.010559  
      5.178000  4.770906  6.521903    -0.000002    0.002675    0.010558  
     12.082001  4.770906  6.521903     0.000001    0.002671    0.010555  
      1.725999 11.138905  6.521903    -0.000001    0.002678    0.010558  
#      8.630000 11.138907  6.521903     0.000004    0.002679    0.010559  
      5.178000 11.138906  6.521903    -0.000002    0.002671    0.010557  
     12.082000 11.138905  6.521903    -0.000001    0.002673    0.010556  
      0.000001  1.639153  5.934088    -0.000006   -0.001756    0.018178  
      6.904000  1.639153  5.934088    -0.000006   -0.001755    0.018175  
      3.452000  1.639153  5.934088     0.000004   -0.001757    0.018183  
     10.355999  1.639153  5.934088     0.000008   -0.001756    0.018183  
      0.000000  8.007153  5.934087    -0.000004   -0.001756    0.018179  
      6.903999  8.007152  5.934088    -0.000008   -0.001756    0.018179  
#      3.452000  8.007154  5.934087     0.000006   -0.001757    0.018188  
     10.356001  8.007153  5.934088     0.000007   -0.001756    0.018183  
      0.000001  3.883444  9.478107    -0.000002   -0.002655   -0.010892  
      6.904000  3.883443  9.478106    -0.000004   -0.002655   -0.010893  
      3.451999  3.883443  9.478107     0.000001   -0.002650   -0.010889  
     10.356000  3.883443  9.478107     0.000005   -0.002651   -0.010888  
     13.807999 10.251443  9.478107    -0.000003   -0.002656   -0.010893  
      6.904000 10.251443  9.478107    -0.000006   -0.002657   -0.010892  
      3.452000 10.251443  9.478107     0.000002   -0.002652   -0.010890  
     10.356000 10.251443  9.478106     0.000005   -0.002651   -0.010889  
      1.726000  2.296137  7.905162    -0.000001    0.007075    0.002204  
      8.630000  2.296138  7.905162    -0.000003    0.007073    0.002203  
      5.177999  2.296138  7.905162     0.000004    0.007076    0.002207  
     12.082000  2.296137  7.905162     0.000002    0.007077    0.002208  
      1.726000  8.664137  7.905162    -0.000003    0.007075    0.002205  
      8.629999  8.664137  7.905162    -0.000001    0.007074    0.002203  
      5.177998  8.664137  7.905162     0.000004    0.007077    0.002208  
     12.082001  8.664138  7.905162     0.000002    0.007077    0.002207  
      0.000001 12.726226  8.094810     0.000002   -0.007214   -0.001876  
      6.903999 12.726225  8.094810     0.000001   -0.007213   -0.001874  
      3.451999 12.726226  8.094810     0.000003   -0.007215   -0.001876  
     10.356000 12.726225  8.094810    -0.000005   -0.007215   -0.001877  
     13.807999  6.358226  8.094810     0.000000   -0.007214   -0.001876  
      6.904000  6.358225  8.094811     0.000003   -0.007214   -0.001875  
      3.452000  6.358226  8.094810    -0.000000   -0.007217   -0.001877  
     10.356000  6.358226  8.094810    -0.000003   -0.007214   -0.001876  
