#  49 f  =    4.874107 THz    30.624918 2PiTHz  162.582709 cm-1    20.157694 meV
#         X         Y         Z           dx          dy          dz
#      1.726000  0.647216 10.065929     0.000000    0.000961   -0.017969  
      8.630000  0.647216 10.065928     0.000002    0.000963   -0.017967  
      5.177999  0.647216 10.065929    -0.000002    0.000963   -0.017968  
     12.082000  0.647215 10.065929     0.000002    0.000962   -0.017968  
      1.725999  7.015215 10.065930     0.000003   -0.000962    0.017968  
      8.629999  7.015214 10.065929    -0.000004   -0.000963    0.017964  
      5.178000  7.015216 10.065928     0.000004   -0.000963    0.017964  
     12.082000  7.015216 10.065928    -0.000004   -0.000961    0.017967  
      1.725999  4.770905  6.521903     0.000003   -0.009974   -0.005500  
      8.629999  4.770906  6.521904    -0.000001   -0.009970   -0.005496  
      5.178000  4.770906  6.521903     0.000002   -0.009972   -0.005498  
     12.082001  4.770906  6.521903    -0.000003   -0.009975   -0.005501  
      1.725999 11.138905  6.521903    -0.000001    0.009975    0.005501  
      8.630000 11.138907  6.521903    -0.000001    0.009971    0.005498  
      5.178000 11.138906  6.521903    -0.000001    0.009972    0.005499  
     12.082000 11.138905  6.521903     0.000002    0.009975    0.005502  
      0.000001  1.639153  5.934088    -0.000001   -0.000955    0.018426  
      6.904000  1.639153  5.934088    -0.000001   -0.000952    0.018424  
      3.452000  1.639153  5.934088     0.000001   -0.000953    0.018428  
     10.355999  1.639153  5.934088     0.000000   -0.000951    0.018427  
      0.000000  8.007153  5.934087     0.000001    0.000955   -0.018426  
      6.903999  8.007152  5.934088     0.000001    0.000951   -0.018419  
      3.452000  8.007154  5.934087     0.000002    0.000951   -0.018426  
     10.356001  8.007153  5.934088    -0.000001    0.000951   -0.018425  
      0.000001  3.883444  9.478107    -0.000000   -0.010429   -0.005500  
      6.904000  3.883443  9.478106    -0.000001   -0.010424   -0.005500  
      3.451999  3.883443  9.478107     0.000002   -0.010425   -0.005501  
     10.356000  3.883443  9.478107    -0.000001   -0.010423   -0.005501  
     13.807999 10.251443  9.478107     0.000000    0.010429    0.005499  
      6.904000 10.251443  9.478107     0.000001    0.010424    0.005499  
      3.452000 10.251443  9.478107     0.000001    0.010423    0.005500  
     10.356000 10.251443  9.478106    -0.000001    0.010424    0.005500  
      1.726000  2.296137  7.905162    -0.000001    0.004836    0.002872  
      8.630000  2.296138  7.905162     0.000003    0.004834    0.002871  
      5.177999  2.296138  7.905162     0.000000    0.004835    0.002872  
     12.082000  2.296137  7.905162     0.000001    0.004835    0.002872  
      1.726000  8.664137  7.905162    -0.000002   -0.004836   -0.002872  
      8.629999  8.664137  7.905162     0.000000   -0.004832   -0.002870  
      5.177998  8.664137  7.905162    -0.000003   -0.004833   -0.002871  
     12.082001  8.664138  7.905162     0.000001   -0.004836   -0.002872  
      0.000001 12.726226  8.094810    -0.000002   -0.004964   -0.002458  
      6.903999 12.726225  8.094810    -0.000002   -0.004968   -0.002458  
      3.451999 12.726226  8.094810    -0.000001   -0.004969   -0.002459  
     10.356000 12.726225  8.094810    -0.000000   -0.004969   -0.002459  
     13.807999  6.358226  8.094810     0.000002    0.004964    0.002459  
      6.904000  6.358225  8.094811     0.000002    0.004967    0.002458  
      3.452000  6.358226  8.094810    -0.000000    0.004969    0.002459  
     10.356000  6.358226  8.094810     0.000002    0.004968    0.002459  
